Clade1	Clade2	Type	Count1	Universe1	Count2	Universe2	CommonCount1	CommonCount2	Intersect	CommonUniverse	PHyper	AAConvergeGeneCount	CommonAAConvergeGeneCount	CommonIntersectCount	AAConvergeAndRelaxIntenseConverge	CommonUniverseAA	PHyperAA	PHyperFDR	PHyperAAFDR
DeepseaBeryciformes	Pseudoliparis	Relaxed	2329	9048	1307	11504	2188	855	288	8474	3.98947665264282e-08	252	173	288	11	8474	0.0336268823879661	2.48234102831109e-07	0.0818741484228739
DeepseaBeryciformes	Pseudoliparis	Intensified	1981	9048	2484	11504	1884	1773	404	8474	0.274111614903284	252	173	404	18	8474	0.00146867478371443	0.374396352063022	0.0051403617430005
Ilyophis	Macrourus_sp	Relaxed	582	8523	289	1718	57	194	9	1154	0.640972971778529	10	8	9	0	1154	1	0.703813459207796	1
Ilyophis	Macrourus_sp	Intensified	338	8523	286	1718	28	199	3	1154	0.886912424209603	10	8	3	0	1154	1	0.923666681962357	1
Ilyophis	Pachycara	Relaxed	582	8523	386	11613	557	260	22	8093	0.182649525381517	91	83	22	4	8093	6.53684150112663e-05	0.276442524901756	0.000332784658239174
Ilyophis	Pachycara	Intensified	338	8523	1080	11613	319	725	23	8093	0.890678586177987	91	83	23	0	8093	1	0.923666681962357	1
Ilyophis	Pseudoliparis	Relaxed	582	8523	1307	11504	558	888	92	8008	4.20009850985602e-05	229	165	92	9	8008	0.000108132125319956	0.000147003447844961	0.000465799924455196
Ilyophis	Pseudoliparis	Intensified	338	8523	2484	11504	317	1755	71	8008	0.438790606695858	229	165	71	4	8008	0.0583106730231546	0.522814339892938	0.122954926787794
Macrourus_sp	Pachycara	Relaxed	289	1718	386	11613	262	31	6	1579	0.411124398452233	6	4	6	0	1579	1	0.511604010150375	1
Macrourus_sp	Pachycara	Intensified	286	1718	1080	11613	267	69	13	1579	0.380636317434311	6	4	13	0	1579	1	0.495712413402823	1
Macrourus_sp	Pseudoliparis	Relaxed	289	1718	1307	11504	264	139	31	1567	0.0497142126238982	10	8	31	1	1567	0.148037207400867	0.0927998635646099	0.259065112951518
Macrourus_sp	Pseudoliparis	Intensified	286	1718	2484	11504	267	237	48	1567	0.0926081902937101	10	8	48	1	1567	0.220772625710213	0.157153292619629	0.325349132625577
Pachycara	Pseudoliparis	Relaxed	386	11613	1307	11504	354	1246	103	11081	9.12696110646391e-21	344	283	103	14	11081	3.26863240506761e-07	2.55554910980989e-19	3.0507235780631e-06
Pachycara	Pseudoliparis	Intensified	1080	11613	2484	11504	1010	2406	283	11081	4.17253451256192e-07	344	283	283	21	11081	1.16412298766646e-05	2.12419938821334e-06	7.24343192325795e-05
