V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0023264	Success	OG0010260	459	2.6844537703852e-10	-33765.545533021	-32925.063801595	-32905.117965755	7.7875552790137e-07	39.89167168038	0	0.34274262500805	0.048043372201564	0.64515700351294	14.782050261237	0.01210037147901	0	0.34274262500805	0.99999763597273	0.64515700351294	1.0000020975129	0.01210037147901	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/25599806/	1.25654100954192e-09
N1.HOG0019100	Success	OG0006769	174	0.8709637016555	-15963.94283811	-15556.209391519	-15556.196199035	0.91376992420658	0.026384967972263	0.02660467946558	0.83149879029928	1	0.13555611461112	10.167965726078	0.032945095089597	0.036372572588199	0.83149879029928	1	0.13555611461112	8.3249225757175	0.032945095089597	n14	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/66053984/	0.973018838446594
N1.HOG0016612	Success	OG0005186	79	0.055007017119988	-4223.6172874568	-4174.5739759978	-4172.7330393752	0.3198602653788	3.6818732450774	0.00045933594053878	0.46273610238423	0.2043858212653	0.49864638511347	4.060102603783	0.038617512502299	0.08557524533306	0.46273610238423	0.60178394710061	0.49864638511347	1.5654774246574	0.038617512502299	n4	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/27372830/	0.113682843970226
N1.HOG0013326	Success	OG0003384	462	0.12009138590312	-28735.258697532	-27362.309540651	-27361.101476311	1.389869448065	2.4161286799645	3.6022369198799e-05	0.59418048659396	0.017410600347504	0.40142993263452	88.464515268856	0.004389580771522	6.6713781411332e-07	0.59418048659396	0.0035888951697236	0.40142993263452	507.87273392845	0.004389580771522	n135	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/32336204/	0.22184296848743
N1.HOG0006007	Success	OG0000866	778	0.94164258937809	-33427.873842622	-32834.987544305	-32834.984864782	0.95655819410892	0.0053590453026118	0.00026280126084943	0.52751457856482	0.095821953203552	0.46292654196903	12.79546345699	0.0095588794661485	0.00037598047662594	0.52751457856482	0.10609917771427	0.46292654196903	11.454166928688	0.0095588794661485	n323	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/82010372/	1
N1.HOG0001595	Success	OG0000157	397	0.46037714222719	-25083.71633532	-24395.024548071	-24394.752059277	0.82189335952799	0.54497758725483	0	0.36556827458213	0.0010948518287522	0.61488846142377	144.57043185933	0.019543263994096	0	0.36556827458213	0.0036869378826504	0.61488846142377	59.614921895882	0.019543263994096	n938	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/54658332/	0.647569968582541
N1.HOG0026133	Success	OG0013040	176	0.085509869882456	-14619.35561584	-14487.316167835	-14485.837700125	0.31455983704055	2.9569354193482	6.6984977330673e-05	0.73947053454805	0.51733616769768	0.2582648452131	35.09296223305	0.0022646202388531	0.048642975816043	0.73947053454805	0.81276394885213	0.2582648452131	3.0624158264221	0.0022646202388531	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/78630352/	0.166528907166694
N1.HOG0024285	Success	OG0011235	260	0	-21725.973856747	-21016.141860746	-20932.749167625	15.376571088848	166.78538624057	0.00018918209413946	0.62835197889606	0.026183918557266	0.28756129094794	1.3607149242304	0.084086730156002	5.638727235025e-58	0.62835197889606	4.7293037064646e-25	0.28756129094794	113.99349325191	0.084086730156002	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/50651963/	0
N1.HOG0019773	Success	OG0007262	366	0.46172541837789	-19162.432852444	-18666.451783208	-18666.180928823	0.60643344169262	0.54170876993157	4.5389503345117e-09	0.37726141079757	0.010637995383926	0.60473463371699	3.4720598108063	0.018003955485444	8.719644269827e-06	0.37726141079757	0.063594827856383	0.60473463371699	2.1273069303131	0.018003955485444	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/24265346/	0.648810620512991
N1.HOG0013762	Success	OG0003615	179	0.68739616072925	-8921.0235510334	-8551.9264653384	-8551.8455060079	0.7793989407057	0.16191866104782	2.4923205883286e-05	0.55731952355616	0.015601651629165	0.43389233061527	14.96867200447	0.0087881458285708	0.000258296166098	0.55731952355616	0.039062412431696	0.43389233061527	8.2401780809494	0.0087881458285708	n2	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/15427420/	0.849666729819434
